id,congruence,correct,rt
1v24kyhs,incongruent,0,0.028
1v24kyhs,incongruent,0,0.0
1v24kyhs,incongruent,1,0.975
1v24kyhs,congruent,1,1.308
1v24kyhs,congruent,0,0.0
1v24kyhs,incongruent,1,1.093
1v24kyhs,incongruent,0,1.345
1v24kyhs,congruent,1,1.221
1v24kyhs,congruent,1,1.585
1v24kyhs,congruent,1,1.298
1v24kyhs,incongruent,0,0.683
1v24kyhs,incongruent,0,0.0
1v24kyhs,incongruent,1,0.584
1v24kyhs,incongruent,1,0.435
1v24kyhs,incongruent,1,0.729
1v24kyhs,incongruent,1,1.142
1v24kyhs,congruent,1,0.613
1v24kyhs,incongruent,0,0.664
1v24kyhs,incongruent,0,0.669
1v24kyhs,incongruent,0,0.576
1v24kyhs,incongruent,0,0.566
1v24kyhs,incongruent,0,0.555
1v24kyhs,congruent,0,0.816
1v24kyhs,incongruent,1,0.627
1v24kyhs,incongruent,0,0.731
1v24kyhs,incongruent,0,0.587
1v24kyhs,incongruent,0,0.512
1v24kyhs,incongruent,0,0.673
1v24kyhs,incongruent,1,1.361
1v24kyhs,incongruent,0,0.665
1v24kyhs,incongruent,0,0.579
1v24kyhs,incongruent,0,0.493
1v24kyhs,congruent,0,0.408
1v24kyhs,incongruent,0,0.602
1v24kyhs,incongruent,0,0.645
1v24kyhs,incongruent,0,0.558
1v24kyhs,incongruent,1,1.358
1v24kyhs,incongruent,0,0.537
1v24kyhs,incongruent,0,0.561
1v24kyhs,incongruent,1,1.222
1v24kyhs,congruent,1,0.506
1v24kyhs,incongruent,1,1.013
1v24kyhs,incongruent,1,0.694
1v24kyhs,congruent,1,0.831
1v24kyhs,incongruent,0,0.57
1v24kyhs,incongruent,0,0.557
1v24kyhs,incongruent,0,0.474
1v24kyhs,incongruent,1,0.512
1v24kyhs,incongruent,0,0.581
1v24kyhs,incongruent,1,0.487
1v24kyhs,incongruent,0,0.754
1v24kyhs,incongruent,0,0.418
1v24kyhs,incongruent,0,0.412
1v24kyhs,incongruent,1,0.631
1v24kyhs,incongruent,0,0.44
1v24kyhs,incongruent,0,0.428
1v24kyhs,incongruent,1,0.755
1v24kyhs,incongruent,0,0.451
1v24kyhs,incongruent,0,0.612
1v24kyhs,incongruent,0,0.628
2jp4ppt2,incongruent,0,0.939
2jp4ppt2,congruent,1,0.662
2jp4ppt2,incongruent,1,0.629
2jp4ppt2,congruent,1,0.819
2jp4ppt2,incongruent,1,0.929
2jp4ppt2,incongruent,0,0.837
2jp4ppt2,incongruent,0,0.748
2jp4ppt2,incongruent,1,0.678
2jp4ppt2,incongruent,0,0.686
2jp4ppt2,incongruent,0,0.808
2jp4ppt2,incongruent,0,0.632
2jp4ppt2,incongruent,0,0.875
2jp4ppt2,incongruent,1,0.599
2jp4ppt2,incongruent,0,0.826
2jp4ppt2,congruent,1,1.149
2jp4ppt2,incongruent,0,0.713
2jp4ppt2,incongruent,0,0.797
2jp4ppt2,incongruent,0,0.87
2jp4ppt2,incongruent,1,0.754
2jp4ppt2,incongruent,0,0.806
2jp4ppt2,incongruent,1,1.016
2jp4ppt2,congruent,1,1.199
2jp4ppt2,incongruent,1,0.744
2jp4ppt2,incongruent,0,0.669
2jp4ppt2,incongruent,0,0.7
2jp4ppt2,incongruent,0,1.011
2jp4ppt2,incongruent,1,0.809
2jp4ppt2,congruent,0,0.647
2jp4ppt2,incongruent,1,0.635
2jp4ppt2,incongruent,0,1.111
2jp4ppt2,incongruent,0,0.695
2jp4ppt2,incongruent,0,0.797
2jp4ppt2,incongruent,0,0.639
2jp4ppt2,incongruent,1,0.766
2jp4ppt2,incongruent,0,0.629
2jp4ppt2,incongruent,0,0.534
2jp4ppt2,incongruent,1,0.706
2jp4ppt2,congruent,0,0.641
